time,gFx,gFy,gFz,TgF
8.103215,-1.7325,1.5118,-1.7547,2.892
8.125272,-1.9543,1.2446,-1.1300,2.578
8.148456,-1.3533,1.0838,-0.2876,1.757
8.170546,-0.9375,0.8360,0.3136,1.295
8.192358,-0.6440,0.6773,0.5198,1.069
8.214369,-0.5878,0.7100,0.4494,1.025
8.235529,-0.4167,1.0997,0.4678,1.266
8.258082,-0.6503,1.4505,0.3255,1.623
8.280175,-0.9117,1.4305,0.0348,1.697
8.302154,-0.6379,1.4735,-0.0342,1.606
8.323125,-0.4973,1.4535,-0.0755,1.538
8.343129,-0.3967,1.1141,-0.2788,1.215
8.366693,-0.2453,0.7920,-0.4715,0.954
8.387321,-0.1532,0.4188,-0.5041,0.673
8.407576,-0.0547,0.2472,-0.4664,0.531
8.430035,-0.0750,0.0638,-0.5935,0.602
8.452856,-0.0635,-0.1946,-1.0648,1.084
8.475477,0.8851,0.0044,-1.4063,1.662
8.498318,1.5352,0.3310,-1.3694,2.084
8.520375,1.3461,0.1681,-1.0936,1.742
8.542031,1.6214,0.1922,-0.8950,1.862
8.563327,2.1555,0.3806,-0.9685,2.394
8.586188,2.3170,0.4288,-1.0394,2.575
8.606011,2.0705,0.2979,-0.8974,2.276
8.635229,1.6456,0.1696,-0.9126,1.889
8.655323,0.9794,0.0496,-1.2399,1.581
8.674522,0.7416,0.1141,-1.3184,1.517
8.692011,0.5042,0.1353,-0.9632,1.096
8.713078,0.2927,0.1446,-0.6113,0.693
8.734664,-0.0410,0.1649,-0.5490,0.575
8.757052,-0.1784,0.4668,-0.5087,0.713
8.779156,-0.5434,1.2462,-0.1273,1.365
8.801167,-1.7346,1.5111,-0.6064,2.379
8.823833,-2.4529,1.7437,-2.1031,3.671
8.849089,-1.7639,1.3838,-2.4581,3.327
8.869991,0.0500,0.7464,-0.9548,1.213
8.890572,0.6726,0.4962,0.1611,0.851
8.913471,0.7532,0.3818,0.7748,1.146
8.935178,0.4085,0.1935,0.9368,1.040
8.958375,-0.1847,0.0801,0.4741,0.515
8.980847,-0.5182,-0.2738,-0.4381,0.732
9.004440,0.0200,-0.8120,-1.8255,1.998
9.027221,1.1082,-0.9564,-2.6382,3.017
9.049118,1.8233,-0.9107,-1.9376,2.812
9.071103,2.2985,-0.8403,-1.3867,2.813
9.092359,2.4392,-0.8259,-1.1256,2.810
9.114197,2.8455,-0.7627,-1.4041,3.263
9.137236,2.7651,-0.7329,-1.8663,3.416
9.159088,2.3974,-0.6383,-1.4992,2.899
9.180455,1.9261,-0.4942,-1.0445,2.246
9.203066,1.2696,-0.4692,-1.0137,1.691
9.225439,0.7170,-0.4169,-1.1029,1.380
9.247034,0.3933,-0.3029,-0.8671,0.999
9.269499,0.3395,-0.2032,-0.4710,0.615
9.291321,-0.0537,-0.1683,-0.5082,0.538
9.314059,-0.4566,-0.0285,-0.8407,0.957
9.336880,-0.6345,0.0809,-0.9062,1.109
9.359081,-0.6435,0.1845,-0.7523,1.007
9.380017,-0.2970,0.6814,-0.4247,0.856
9.401087,-0.5599,1.1053,-1.3213,1.811
9.420705,-1.0517,0.8974,-1.9066,2.355
9.443252,-0.7209,0.5788,-1.3228,1.614
9.464962,-0.1226,0.2895,-0.2849,0.424
9.489919,0.1954,0.4388,0.5613,0.739
9.513286,0.0938,0.4820,0.5014,0.702
9.535337,-0.2636,0.2773,-0.1273,0.403
9.555506,-0.1602,0.1065,-0.2311,0.301
9.578045,0.2655,0.0161,-0.2524,0.367
9.598920,0.2941,-0.2247,-1.2331,1.287
9.618820,0.2709,-0.5115,-2.0100,2.092
9.640496,0.8548,-0.5281,-1.8844,2.136
9.663708,1.7094,-0.7436,-1.5915,2.451
